filename,cluster_label,shannon_index
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_729.wav,-1,3.9669743
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_1050.wav,-1,3.9905934
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_643.wav,-1,4.3976374
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_672.wav,-1,4.044663
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_6325.wav,-1,4.6062703
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_644.wav,-1,4.42311
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_6361.wav,-1,4.5021615
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_627.wav,-1,4.266035
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181004_000000_segment_5738.wav,-1,3.0362623
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181004_000000_segment_5739.wav,-1,2.9243183
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20201209_000100_segment_6539.wav,-1,4.5825825
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_326.wav,-1,4.613764
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_806.wav,-1,3.9122283
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20201209_000100_segment_6480.wav,-1,4.567555
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_3010.wav,-1,4.712429
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_3005.wav,-1,4.9166455
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_1556.wav,-1,4.127804
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_6513.wav,-1,4.8343387
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_6197.wav,-1,4.282926
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181009_000000_segment_6098.wav,-1,3.8159952
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_6366.wav,-1,4.6344404
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20201209_000100_segment_6482.wav,-1,4.5858984
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181002_000000_segment_5924.wav,-1,3.2875226
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_8577.wav,-1,4.379878
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_671.wav,-1,4.2296753
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_6221.wav,-1,4.82258
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181009_000000_segment_5604.wav,-1,4.0205193
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_690.wav,-1,3.9889224
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20201209_000100_segment_6341.wav,-1,4.0746026
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_2010.wav,-1,4.0357194
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181004_000000_segment_6184.wav,-1,4.073229
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20201209_000100_segment_6578.wav,-1,4.2887697
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_8575.wav,-1,4.347701
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_2735.wav,-1,4.8908415
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181003_000000_segment_6153.wav,-1,3.2208476
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181003_000000_segment_6154.wav,-1,3.249352
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181003_000000_segment_6182.wav,-1,3.3329127
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181004_000000_segment_5734.wav,-1,2.8950062
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_3006.wav,-1,4.7611446
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_5122.wav,-1,3.5045614
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_3503.wav,-1,4.545047
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_3004.wav,-1,4.7521763
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_704.wav,-1,4.0672393
