filename,start_time,end_time,label,confidence
nn01a_20180929_000000_segment_1001.wav,4.1558441558441555,4.475524475524476,"""Insect""",0.10068848
nn01a_20180929_000000_segment_1002.wav,5.754245754245754,6.073926073926074,"""Cricket""",0.10356822
nn01a_20180929_000000_segment_1003.wav,5.754245754245754,6.713286713286713,"""Insect""",0.12118157
nn01a_20180929_000000_segment_1003.wav,7.352647352647352,8.311688311688311,"""Insect""",0.12388655
nn01a_20180929_000000_segment_1003.wav,5.754245754245754,6.713286713286713,"""Cricket""",0.10819257
nn01a_20180929_000000_segment_1003.wav,7.352647352647352,8.311688311688311,"""Cricket""",0.11782093
nn01a_20180929_000000_segment_1004.wav,1.918081918081918,3.5164835164835164,"""Insect""",0.14096205
nn01a_20180929_000000_segment_1004.wav,4.1558441558441555,5.754245754245754,"""Insect""",0.1103203
nn01a_20180929_000000_segment_1004.wav,7.992007992007992,8.631368631368632,"""Insect""",0.104243286
nn01a_20180929_000000_segment_1004.wav,1.918081918081918,3.836163836163836,"""Cricket""",0.10506785
nn01a_20180929_000000_segment_1004.wav,4.475524475524476,5.754245754245754,"""Cricket""",0.105634965
nn01a_20180929_000000_segment_1004.wav,7.992007992007992,8.631368631368632,"""Cricket""",0.10600036
nn01a_20180929_000000_segment_1005.wav,7.672327672327672,8.311688311688311,"""Insect""",0.101342835
nn01a_20180929_000000_segment_1005.wav,8.631368631368632,10.0,"""Insect""",0.11354829
nn01a_20180929_000000_segment_1005.wav,7.992007992007992,10.0,"""Cricket""",0.10899454
nn01a_20180929_000000_segment_1006.wav,7.672327672327672,9.270729270729271,"""Insect""",0.106704004
nn01a_20180929_000000_segment_1006.wav,7.992007992007992,8.311688311688311,"""Cricket""",0.10080434
nn01a_20180929_000000_segment_1006.wav,8.631368631368632,8.951048951048952,"""Cricket""",0.101109035
